test game...
Trace: TicTacToeTest:testGame:12.
Trace: TicTacToeTest:addRandomPlayers:24.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
Trace: PlayerManager:addPlayerToAlphabeticArray:256.
Trace: PlayerManager:addPlayerToTopTenArray:281.
Trace: PlayerManager:addPlayer:195.
